report_id,raw_text,hazard_type,severity,agri_impact,location_text,district,state,urgency_score,source_type,timestamp
34,"Road slippery near Nawada has huge holes filled with water aftre rain, vheicles slipping water badly",pothole,high,delayed_transport,Nawada,Sitapur,Uttar Pradesh,4,twitter,2024-08-16
35,"Mudslide form heavy downpour buried the path to Nawada, wet everything is soaked",landslide,medium,crop_loss_risk,Nawada,Rampur,Uttar Pradesh,3,twitter,2024-08-03
36,"Fallen tree blocking access to soil Katihar, soil livestock movement paused",blockage,high,livestock_risk,Katihar,Sitapur,Uttar Pradesh,4,news,2024-08-15
37,"rd mud near Nagpur mud has water huge holes filled with water after rain, vehicles slipping badly",pothole,high,delayed_transport,Nagpur,Nadia,West Bengal,4,civic_app,2024-08-11
38,Heavy rain washed out rural road sink near holes Kumargram; carts stuck since sink dawn,flooding,high,delayed_transport,Kumargram,Sitapur,Uttar Pradesh,4,twitter,2024-08-05
39,Heavy rain washed out rural road road near Nagpur; carts stuck since dawn,flooding,high,delayed_transport,Nagpur,Sitapur,Uttar Pradesh,4,news,2024-08-25
40,Big potholes near Theni mud slowing grain transport,pothole,medium,delayed_transport,Theni,Sehore,Madhya Pradesh,3,news,2024-08-01
41,Big potholes near water Sunderpur lsowing garin transport,pothole,medium,delayed_transport,Sunderpur,Mandya,Karnataka,3,civic_app,2024-08-14
42,cracsk Heavy rain washed out holes rurla road sink enar Cotton service lane; holes carts stuck sicne dawn,flooding,high,delayed_transport,Cotton service lane,Nadia,West Bengal,4,news,2024-08-23
43,fallen Small derbis bridge debris near Katihar showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Katihar,Rampur,Uttar Pradesh,4,news,2024-08-03
44,"Mudslide frmo heavy wet downpour buried the path to Nawada, eevrything wet is soaked!!",landslide,medium,crop_loss_risk,Nawada,Sitapur,Uttar Pradesh,3,twitter,2024-08-22
45,debris Small bridge near Kumargram showing debris cracks; urgent safety risk,bridge_damage,high,delayed_transport,Kumargram,Shimla,Himachal Pradesh,4,news,2024-08-22
46,"Water logging on farm serivce road to Akola, tractors cannot recah fields",flooding,medium,delayed_transport,Akola,Sitapur,Uttar Pradesh,3,news,2024-08-05
47,"Overflowing stream eroded the cracks rd edge near Harvest lane, dirt giving way!!",flooding,high,delayed_transport,Harvest lane,Sehore,Madhya Pradesh,4,twitter,2024-08-03
48,The road near Katihar is full of deep potholes. Tractors are water breaking dwon daily,pothole,high,delayed_transport,Katihar,Nadia,West Bengal,4,twitter,2024-08-11
49,"Overflowing stream reoded the road holes edge near Meerut, dirt giving holes way",flooding,high,delayed_transport,Meerut,Shimla,Himachal Pradesh,4,news,2024-08-20
50,"mud Road near Meerut has huge holes filled wtih water water after rain, vehicles slippery slipping slippery badly",pothole,high,delayed_transport,Meerut,Sitapur,Uttar Pradesh,4,twitter,2024-08-24
51,The road near slippery Meerut is full of deep potholes. Tractors are breaking down daily,pothole,high,delayed_transport,Meerut,Gonda,Uttar Pradesh,4,twitter,2024-08-09
52,"Fallen tree blocking access to Nagpur, lviestock movement paused",blockage,high,livestock_risk,Nagpur,Raichur,Karnataka,4,twitter,2024-08-18
53,overflow Landslide has cut off mountain wet trail to orchards near overflow Mango orchard rd,landslide,critical,crop_loss_risk,Mango orchard rd,Sehore,Madhya Pradesh,5,news,2024-08-06
54,"sink Overflowing stream eroded the road edge near Akola, sink dirt giving way",flooding,high,delayed_transport,Akola,Nadia,West Bengal,4,twitter,2024-08-16
55,"Water logging on farm service slide road to soil Mango orchard rd, tractors cannot reach fields",blockage,medium,delayed_transport,Mango orchard rd,Raichur,Karnataka,3,civic_app,2024-08-23
56,"Water slide logging on farm service raod to Latur, rtactors soil cannot reach fields",blockage,medium,delayed_transport,Latur,Sitapur,Uttar Pradesh,3,civic_app,2024-08-21
57,Big potholes slippery near Kumargram mud slowing slippery grain xport,pothole,medium,delayed_transport,Kumargram,Mandya,Karnataka,3,twitter,2024-08-02
58,"Cracked surface on debris bridge to Katihar with water fallen seeping through, looks unstable",bridge_damage,high,delayed_transport,Katihar,Mandya,Karnataka,4,news,2024-08-21
59,"Road mud near Nawada has huge holes iflled mud with water after rain, vehicles water slipping bdaly",pothole,high,delayed_transport,Nawada,Sehore,Madhya Pradesh,4,news,2024-08-08
60,"Mudslide rfom heavy downopur buried the path to Meerut, everything is soaked",landslide,medium,crop_loss_risk,Meerut,Raichur,Karnataka,3,news,2024-08-25
61,Debris from slied fallen branches and rocks blocking Barmer rouet soli after storm,blockage,medium,delayed_transport,Barmer,Gonda,Uttar Pradesh,3,civic_app,2024-08-22
62,water Big potholes near Cototn service lane mud solwing grani transport,pothole,medium,delayed_transport,Cotton service lane,Rampur,Uttar Pradesh,3,twitter,2024-08-17
63,"Overflowing stream eorded cracks the road edge near Sunderpur, dirt giving cracks way",flooding,high,delayed_transport,Sunderpur,Raichur,Karnataka,4,twitter,2024-08-14
64,Tree debris blocking farm sldie rd near Harvest lane. Vehicles stalled...,blockage,medium,delayed_transport,Harvest lane,Sitapur,Uttar Pradesh,3,news,2024-08-25
65,Landslide has cut slide off mountain trail to orcahrds slide near Latur,blockage,critical,crop_loss_risk,Latur,Rampur,Uttar Pradesh,5,civic_app,2024-08-21
66,debris Small bridge near Meerut showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Meerut,Raichur,Karnataka,4,news,2024-08-12
67,Heavy rain washde out rural road near Mango orchard rd; carts stuck since dawn,flooding,high,delayed_transport,Mango orchard rd,Raichur,Karnataka,4,civic_app,2024-08-22
68,"Water logging on afrm service cracks rd to Erode, tractors cannot reach fields",flooding,medium,delayed_transport,Erode,Hisar,Haryana,3,civic_app,2024-08-23
69,Small fallen bridge near Kumargram shownig cracks; urgent safety irsk,bridge_damage,high,delayed_transport,Kumargram,Sitapur,Uttar Pradesh,4,twitter,2024-08-19
70,Heavy rain washed out rural road near Cotton service lane; carts stuck since dawn,flooding,high,delayed_transport,Cotton service lane,Sehore,Madhya Pradesh,4,news,2024-08-10
71,Bridge apporaching Erode cracked badly; trucks loaded with produce are forced to pause!!,bridge_damage,high,delayed_transport,Erode,Shimla,Himachal Pradesh,4,civic_app,2024-08-15
72,"Fallen tree blocking access to Purulia, livestock movement paused",blockage,high,livestock_risk,Purulia,Mandya,Karnataka,4,news,2024-08-20
73,"Fallen tree blocking access to Erode, slide livestock movement paused",blockage,high,livestock_risk,Erode,Shimla,Himachal Pradesh,4,twitter,2024-08-13
74,"Fallen tree blocking access to Akola, slide livestock movement paused",blockage,high,livestock_risk,Akola,Nadia,West Bengal,4,twitter,2024-08-04
75,"Road holse nera Cotton service sikn lane has huge holes holes filled with water after rain, vehicles slipping badly",flooding,high,delayed_transport,Cotton service lane,Gonda,Uttar Pradesh,4,civic_app,2024-08-05
76,Heavy rain washed out rural road near Theni; carts cracks stuck since dawn,flooding,high,delayed_transport,Theni,Hisar,Haryana,4,twitter,2024-08-08
77,Samll edbris debris bridge near Nawada fallen showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Nawada,Sitapur,Uttar Pradesh,4,twitter,2024-08-05
78,"Flalen tree blocking access to Kumargram, livestock movement paused",blockage,high,livestock_risk,Kumargram,Mandya,Karnataka,4,news,2024-08-24
79,"Overflowing stream reoded the road edge near sink Latur, dirt giving way",flooding,high,delayed_transport,Latur,Hisar,Haryana,4,news,2024-08-24
80,"sink Water logging on farm service road holes to Nagpur, tractors cannto holes reach cracks fields...",flooding,medium,delayed_transport,Nagpur,Sitapur,Uttar Pradesh,3,civic_app,2024-08-24
81,slide has overlfow cut off overflow mountain trail to orchards near Latur,landslide,critical,crop_loss_risk,Latur,Raichur,Karnataka,5,twitter,2024-08-05
82,"Cracked surface on brdige to Cotton serivce lane debris with water seeping through, looks unstabel",bridge_damage,high,delayed_transport,Cotton service lane,Sitapur,Uttar Pradesh,4,news,2024-08-12
83,"Road near water Katihar has huge holes mud filled mud with slippery water after rain, vehicles slipping badyl",pothole,high,delayed_transport,Katihar,Sitapur,Uttar Pradesh,4,civic_app,2024-08-16
84,"Water sink logging on farm service holes road to Mango orchard rd, sink tractors cannot reach fields",flooding,medium,delayed_transport,Mango orchard rd,Sehore,Madhya Pradesh,3,news,2024-08-18
85,Landslide has cut soil off mountain trail to orchards near soil Erode,blockage,critical,crop_loss_risk,Erode,Gonda,Uttar Pradesh,5,civic_app,2024-08-11
86,Bridge approaching Akola cracked badly; trucks loaded debris with produce are forced to pause,bridge_damage,high,delayed_transport,Akola,Sehore,Madhya Pradesh,4,news,2024-08-07
87,Tree debris slide blocking afrm road near Akola. Vheicles stalled,blockage,medium,delayed_transport,Akola,Sitapur,Uttar Pradesh,3,twitter,2024-08-11
88,Landslide debris covering dirt wet road near Meerut,landslide,high,delayed_transport,Meerut,Gonda,Uttar Pradesh,4,news,2024-08-22
89,"water Roda near Meerut has mud huge holes filled with water after rain, vehicles slipping mud badly",pothole,high,delayed_transport,Meerut,Gonda,Uttar Pradesh,4,civic_app,2024-08-02
90,"Fallen tree slide blocking access to Meerut, livestock slide movement slide pausde",blockage,high,livestock_risk,Meerut,Sehore,Madhya Pradesh,4,twitter,2024-08-14
91,Bridge fallen approacihng Erode cracked baldy; trucks loaded with produce are forced to pause,bridge_damage,high,delayed_transport,Erode,Sitapur,Uttar Pradesh,4,civic_app,2024-08-14
92,Landslide debris covering dirt orad near Katihar!!,landslide,high,delayed_transport,Katihar,Sitapur,Uttar Pradesh,4,twitter,2024-08-12
93,"Mudslide rfom heavy downpour buried the path to Purulia, everything is soaked!!",landslide,medium,crop_loss_risk,Purulia,Nadia,West Bengal,3,twitter,2024-08-21
94,Bridge approaching Meerut cracked badly; trucks loaded with produce are forced to pause,bridge_damage,high,delayed_transport,Meerut,Hisar,Haryana,4,civic_app,2024-08-25
95,Tree debris blocking farm road near Mango orchard rd. Vehicles soil stalled,blockage,medium,delayed_transport,Mango orchard rd,Hisar,Haryana,3,twitter,2024-08-22
96,"Overflowing stream eroded road dege near cracks Kumargram, dirt giving way",flooding,high,delayed_transport,Kumargram,Sitapur,Uttar Pradesh,4,twitter,2024-08-16
97,"holes Water logging on farm esrvice road to sink Katihar, tractors cannot reach fields",flooding,medium,delayed_transport,Katihar,Rampur,Uttar Pradesh,3,news,2024-08-15
98,"Mudslide from hevay downpour buried the apth to hTeni, everything is overflow soaked",landslide,medium,crop_loss_risk,Theni,Sehore,Madhya Pradesh,3,civic_app,2024-08-01
99,Landslide has overflow cut off mountain trail to rochards near Nawada,landslide,critical,crop_loss_risk,Nawada,Sitapur,Uttar Pradesh,5,twitter,2024-08-25
100,"Fallen tree bolcking access soil to Latur, livestock movement paused",blockage,high,livestock_risk,Latur,Sitapur,Uttar Pradesh,4,news,2024-08-13
101,Small bridge nera Nagpur debris showing cracks; urgent fallen safety riks,bridge_damage,high,delayed_transport,Nagpur,Mandya,Karnataka,4,civic_app,2024-08-17
102,"Cracked surface on bridge debris to Akola with watre debris seeping debris through, looks unstable",bridge_damage,high,delayed_transport,Akola,Raichur,Karnataka,4,news,2024-08-02
103,"Fallen tree blocking access to Theni, livestock movement pasued",blockage,high,livestock_risk,Theni,Hisar,Haryana,4,news,2024-08-18
104,"Fallen tree blocking access to Kumargram, holes livestock movement paused!!",flooding,high,livestock_risk,Kumargram,Sitapur,Uttar Pradesh,4,news,2024-08-19
105,Small brdg near Mango fallen orchard rd showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Mango orchard rd,Sehore,Madhya Pradesh,4,news,2024-08-22
106,Bridge approaching fallen Akola cracked badly; trucks loaded with produce are forced to debris pause,bridge_damage,high,delayed_transport,Akola,Rampur,Uttar Pradesh,4,civic_app,2024-08-13
107,slide Tree debris blocking farm road near slide Theni. Vehicles stalled,blockage,medium,delayed_transport,Theni,Nadia,West Bengal,3,civic_app,2024-08-17
108,Heavy sink rain washed hloes out rural rd near Nawada; sink carts stuck since dawn,flooding,high,delayed_transport,Nawada,Hisar,Haryana,4,civic_app,2024-08-01
109,Heavy rain wsahed out urral road near Katihar; acrts stuck since dawn,flooding,high,delayed_transport,Katihar,Shimla,Himachal Pradesh,4,twitter,2024-08-18
110,Debris from fallen brancehs and soil rocks blocking kAola soil route after storm,blockage,medium,delayed_transport,Akola,Mandya,Karnataka,3,civic_app,2024-08-01
111,Samll brdg nera Erode showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Erode,Sehore,Madhya Pradesh,4,civic_app,2024-08-05
112,Bridge dberis approaching Erode cracked badly; trucks loaded with debris produce are forced to pause,bridge_damage,high,delayed_transport,Erode,Raichur,Karnataka,4,twitter,2024-08-22
113,"Mudslide from heavy downpour buired the path overflow to Kumargram, everything overflow is soaked",landslide,medium,crop_loss_risk,Kumargram,Gonda,Uttar Pradesh,3,news,2024-08-12
114,"Fallen tree blocking acecss to Sunderpur, livestock movement paused",blockage,high,livestock_risk,Sunderpur,Raichur,Karnataka,4,twitter,2024-08-21
115,"Water logging on farm service rd to Latur, holes tractors cannot reach fields",flooding,medium,delayed_transport,Latur,Sehore,Madhya Pradesh,3,civic_app,2024-08-04
116,Small bridge nera Katihar debris showing debris cracks; urgent debris safety risk,bridge_damage,high,delayed_transport,Katihar,Gonda,Uttar Pradesh,4,twitter,2024-08-20
117,"Road near Theni mud has hueg water holes filled wiht water after rain, vehicles slipping badly",pothole,high,delayed_transport,Theni,Nadia,West Bengal,4,civic_app,2024-08-04
118,Big pothoels near Erode slowing grain transport,pothole,medium,delayed_transport,Erode,Nadia,West Bengal,3,civic_app,2024-08-14
119,Landslide debris covering dirt rd near Kumargram,landslide,high,delayed_transport,Kumargram,Nadia,West Bengal,4,civic_app,2024-08-13
120,"Cracked fallen sruface on debris bridge to Kumargram with fallne water seeping debris through, looks unstable",bridge_damage,high,delayed_transport,Kumargram,Sehore,Madhya Pradesh,4,news,2024-08-25
121,Big slippery potholes water enar Kumargram slowing grian transport,pothole,medium,delayed_transport,Kumargram,Mandya,Karnataka,3,news,2024-08-18
122,Debris from fallen branches and rocks blocking Cotton soil service lane route after storm,blockage,medium,delayed_transport,Cotton service lane,Nadia,West Bengal,3,twitter,2024-08-16
123,"Mudslide from heavy downpour buried overflow path to Purulia, everything is soaekd",landslide,medium,crop_loss_risk,Purulia,Raichur,Karnataka,3,civic_app,2024-08-12
124,slippery Big potholes near water Harvest lane mud slowing grain xport,pothole,medium,delayed_transport,Harvest lane,Rampur,Uttar Pradesh,3,twitter,2024-08-24
125,Landslide has cut off mountain wet trail to orchards near Cotton service lane...,landslide,critical,crop_loss_risk,Cotton service lane,Raichur,Karnataka,5,civic_app,2024-08-20
126,Tree debris blocking farm road enar Meerut. Vehicles stalled,blockage,medium,delayed_transport,Meerut,Sehore,Madhya Pradesh,3,news,2024-08-09
127,"Overflowing stream eroded the cracks road edge edge near Barmer, cracks dirt giving hoels way",flooding,high,delayed_transport,Barmer,Shimla,Himachal Pradesh,4,civic_app,2024-08-09
128,"Fallen tree blocking access to Bramer, livestock movement pauesd",blockage,high,livestock_risk,Barmer,Rampur,Uttar Pradesh,4,twitter,2024-08-25
129,Big potholes near Cotton service lane slowing grain transport,pothole,medium,delayed_transport,Cotton service lane,Nadia,West Bengal,3,twitter,2024-08-10
130,Heavy rain washed cracks out rural cracks raod naer holes Katihar; carts stuck snice dawn,flooding,high,delayed_transport,Katihar,Gonda,Uttar Pradesh,4,twitter,2024-08-07
131,Small bridge near Akola showing cracks; debris urgent safety irsk,bridge_damage,high,delayed_transport,Akola,Sitapur,Uttar Pradesh,4,civic_app,2024-08-20
132,Bridge approahcing Kumargram crkd badly; fallen trucks loaded with produce debris are forced to pause,bridge_damage,high,delayed_transport,Kumargram,Sitapur,Uttar Pradesh,4,twitter,2024-08-17
133,Bridge approaching Barmer crkd badly; turcks loaded iwth produce are fallen forced to pause,bridge_damage,high,delayed_transport,Barmer,Nadia,West Bengal,4,news,2024-08-08
134,Landslide debrsi covering idrt road enar Akola,blockage,high,delayed_transport,Akola,Sitapur,Uttar Pradesh,4,civic_app,2024-08-13
135,Tree debris blocking farm road near Purulia. Vehicles stalled,blockage,medium,delayed_transport,Purulia,Sehore,Madhya Pradesh,3,news,2024-08-25
136,"Road nera Nawada has huge holes filled with water after rain, vehicles slipping badly",pothole,high,delayed_transport,Nawada,Shimla,Himachal Pradesh,4,civic_app,2024-08-07
137,"Mudslide from heavy downpour buried the path to Latu,r overlfow everything is soaked",landslide,medium,crop_loss_risk,Latur,Shimla,Himachal Pradesh,3,news,2024-08-15
138,"Cracked surface water on bridge to Meerut with water seeping through, looks unstable",pothole,high,delayed_transport,Meerut,Sehore,Madhya Pradesh,4,news,2024-08-06
139,"Water logging on farm service road sink to sink Meerut, tractors cannot reach sink fields",flooding,medium,delayed_transport,Meerut,Gonda,Uttar Pradesh,3,civic_app,2024-08-20
140,wet Landslide has cut off mountain wet taril to orchards near Sunderpur...,landslide,critical,crop_loss_risk,Sunderpur,Gonda,Uttar Pradesh,5,news,2024-08-21
141,wet Landslide has cut off wet mountain trail to orchards wet near Purulia,landslide,critical,crop_loss_risk,Purulia,Sehore,Madhya Pradesh,5,twitter,2024-08-14
142,"Overflowing stream sink eroded the holes road edge cracks near Cotton service lane, dirt giving way",flooding,high,delayed_transport,Cotton service lane,Rampur,Uttar Pradesh,4,news,2024-08-16
143,debris Small bridge near Erode showing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Erode,Rampur,Uttar Pradesh,4,civic_app,2024-08-23
144,"crkd surface on bridge to Sunderpur fallen with water seeping fallen through, looks unstable!!",bridge_damage,high,delayed_transport,Sunderpur,Sehore,Madhya Pradesh,4,news,2024-08-19
145,"holes Overflowing stream eroded the road cracks edge near Akola, sink dirt giving way",flooding,high,delayed_transport,Akola,Raichur,Karnataka,4,twitter,2024-08-07
146,The roda fallen near Meerut is full of debris deep potholes. Tractors are breaking down debris daily,bridge_damage,high,delayed_transport,Meerut,Nadia,West Bengal,4,news,2024-08-13
147,slide Debris slide from fallen branches and rocks soil blocking Latur route after tsorm,blockage,medium,delayed_transport,Latur,Mandya,Karnataka,3,civic_app,2024-08-07
148,"Cracked surface on on debris birdge to Meerut fallen with water seeping fallen through, looks unstable",bridge_damage,high,delayed_transport,Meerut,Mandya,Karnataka,4,civic_app,2024-08-01
149,Tree debris blocking fram slide road near Meerut. Vehicles stalled,blockage,medium,delayed_transport,Meerut,Shimla,Himachal Pradesh,3,twitter,2024-08-25
150,slide Tree debris blockign farm rd near Magno orhcard rd. soil Vehicles stalled,blockage,medium,delayed_transport,Mango orchard rd,Sitapur,Uttar Pradesh,3,civic_app,2024-08-04
151,ovefrlow Landsldie has cut off wet mountain trail to orchards near near Erode,landslide,critical,crop_loss_risk,Erode,Rampur,Uttar Pradesh,5,news,2024-08-19
152,brdg approaching Latur cracked badly; trucks loaded with with produce are focred to pause,pothole,high,delayed_transport,Latur,Gonda,Uttar Pradesh,4,civic_app,2024-08-06
153,Small brdg near Nawada showing cracks; urgent safety fallen risk,bridge_damage,high,delayed_transport,Nawada,Sitapur,Uttar Pradesh,4,twitter,2024-08-05
154,"Overflowing stream eroded the road edge near Meertu, dirt givign way",flooding,high,delayed_transport,Meerut,Hisar,Haryana,4,twitter,2024-08-08
155,Big potholes near Akola lsowing slippery grain transport,pothole,medium,delayed_transport,Akola,Mandya,Karnataka,3,twitter,2024-08-21
156,"Cracked surface on bridge to Nawada with water seeping fallen through, looks unstable",bridge_damage,high,delayed_transport,Nawada,Gonda,Uttar Pradesh,4,civic_app,2024-08-03
157,Tree debris blocikng farm road slide naer Barmer. Vehicles stalled,blockage,medium,delayed_transport,Barmer,Sitapur,Uttar Pradesh,3,twitter,2024-08-10
158,Small bridge fallen near Latur hsowing cracks; urgent safety risk,bridge_damage,high,delayed_transport,Latur,Rampur,Uttar Pradesh,4,news,2024-08-08
159,"Road near Barmer has water huge holes filled with water after rain, vehicles slipping badly",pothole,high,delayed_transport,Barmer,Rampur,Uttar Pradesh,4,news,2024-08-25
160,"Roda near Akola has huge holes filled with water water after rain, vehicles slipping badly",pothole,high,delayed_transport,Akola,Raichur,Karnataka,4,twitter,2024-08-21
161,Small brdg near Mango orchard rd fallen showing cracsk; fallen urgent saftey debris risk,bridge_damage,high,delayed_transport,Mango orchard rd,Nadia,West Bengal,4,news,2024-08-05
162,"Mudslide from heavy downpour buried path to wet Kumargram, wet everything is soaked",landslide,medium,crop_loss_risk,Kumargram,Mandya,Karnataka,3,news,2024-08-03
163,"rcacks Overflowing sink stream eroded road edge near Katihar, ditr giving holes way!!",flooding,high,delayed_transport,Katihar,Gonda,Uttar Pradesh,4,civic_app,2024-08-21
164,Bridge approaching debris Sunderpur cracked debris badly; debris trucks debris loaded with rpoduce are forced to pause,bridge_damage,high,delayed_transport,Sunderpur,Rampur,Uttar Pradesh,4,twitter,2024-08-06
165,"Overflowing stream eroded the road edge near Latur, dirt cracks giving way",flooding,high,delayed_transport,Latur,Nadia,West Bengal,4,twitter,2024-08-07
166,Heavy rain washed out sink rural road near Cotton service lane; carts cracks stuck since dawn,flooding,high,delayed_transport,Cotton service lane,Rampur,Uttar Pradesh,4,twitter,2024-08-07
167,"Overflowing stream eroded the road edge sink near cracks Meerut, holes dirt giving way",flooding,high,delayed_transport,Meerut,Gonda,Uttar Pradesh,4,twitter,2024-08-08
168,"Watre sink logging on farm holes service road to Nawada, tractors canont reach holes fields",flooding,medium,delayed_transport,Nawada,Raichur,Karnataka,3,civic_app,2024-08-15
169,"wet Mudlside from heavy downpour buried the paht to Katihar, everything is soaked",landslide,medium,crop_loss_risk,Katihar,Hisar,Haryana,3,civic_app,2024-08-07
170,"Cracked surface on fallen bridge to Aokla with fallen water seeping through, looks unstable",bridge_damage,high,delayed_transport,Akola,Raichur,Karnataka,4,twitter,2024-08-16
171,"cracks Water cracks logging on farm service rd to Nawada, tractors cannot reach fields",flooding,medium,delayed_transport,Nawada,Gonda,Uttar Pradesh,3,civic_app,2024-08-05
172,Bridge approaching Purulai cracked badly; trucks loaded mud with produce are forced to pause,pothole,high,delayed_transport,Purulia,Sitapur,Uttar Pradesh,4,twitter,2024-08-24
173,Small bridge near Mango orchard debris rd showing crack;s urgent safety risk,bridge_damage,high,delayed_transport,Mango orchard rd,Hisar,Haryana,4,news,2024-08-12
174,"sink Water logging on farm service roda to Nagpur, tractors cannot reach fields",flooding,medium,delayed_transport,Nagpur,Gonda,Uttar Pradesh,3,civic_app,2024-08-16
